DATE,DESCRIPTION,CATEGORY,TYPE,AMOUNT
05-01-2025,Salary Credit,Salary,Income,"₹ 45,000.00"
08-01-2025,Grocery Store,Food,Expense,"₹ 2,450.50"
12-01-2025,Metro Recharge,Transport,Expense,₹ 850.00
15-01-2025,Netflix Subscription,Entertainment,Expense,₹ 649.00
20-01-2025,Electricity Bill,Utilities,Expense,"₹ 1,850.75"
25-01-2025,Freelance Payment,Freelance,Income,"₹ 8,000.00"
02-02-2025,Grocery Store,Food,Expense,"₹ 2,780.40"
05-02-2025,Salary Credit,Salary,Income,"₹ 45,000.00"
10-02-2025,Fuel Expense,Transport,Expense,"₹ 2,200.00"
14-02-2025,Movie Tickets,Entertainment,Expense,₹ 900.00
18-02-2025,Pharmacy Purchase,Health,Expense,"₹ 1,250.25"
24-02-2025,Online Shopping,Shopping,Expense,"₹ 3,500.00"
05-03-2025,Salary Credit,Salary,Income,"₹ 45,000.00"
08-03-2025,Grocery Store,Food,Expense,"₹ 2,610.80"
12-03-2025,Cab Fare,Transport,Expense,₹ 650.00
18-03-2025,Internet Bill,Utilities,Expense,"₹ 1,199.00"
22-03-2025,Freelance Payment,Freelance,Income,"₹ 9,500.00"
28-03-2025,Doctor Consultation,Health,Expense,"₹ 1,800.00"
05-04-2025,Salary Credit,Salary,Income,"₹ 45,000.00"
09-04-2025,Grocery Store,Food,Expense,"₹ 2,895.65"
15-04-2025,Amazon Purchase,Shopping,Expense,"₹ 4,200.00"
20-04-2025,Gym Membership,Health,Expense,"₹ 2,500.00"
25-04-2025,Electricity Bill,Utilities,Expense,"₹ 2,100.00"
05-05-2025,Salary Credit,Salary,Income,"₹ 47,000.00"
08-05-2025,Grocery Store,Food,Expense,"₹ 3,050.25"
13-05-2025,Metro Recharge,Transport,Expense,₹ 900.00
18-05-2025,Spotify Subscription,Entertainment,Expense,₹ 119.00
23-05-2025,Freelance Payment,Freelance,Income,"₹ 11,000.00"
05-06-2025,Salary Credit,Salary,Income,"₹ 47,000.00"
11-06-2025,Grocery Store,Food,Expense,"₹ 2,725.40"
17-06-2025,Fuel Expense,Transport,Expense,"₹ 2,500.00"
22-06-2025,Online Shopping,Shopping,Expense,"₹ 3,800.00"
05-07-2025,Salary Credit,Salary,Income,"₹ 47,000.00"
10-07-2025,Grocery Store,Food,Expense,"₹ 2,950.75"
15-07-2025,Movie Tickets,Entertainment,Expense,₹ 750.00
21-07-2025,Electricity Bill,Utilities,Expense,"₹ 1,950.00"
05-08-2025,Salary Credit,Salary,Income,"₹ 50,000.00"
12-09-2025,Health Checkup,Health,Expense,"₹ 2,200.00"
10-10-2025,Freelance Payment,Freelance,Income,"₹ 12,000.00"
15-11-2025,Festival Shopping,Shopping,Expense,"₹ 6,500.00"
05-12-2025,Salary Credit,Salary,Income,"₹ 50,000.00"
18-12-2025,Year-End Vacation,Entertainment,Expense,"₹ 8,500.00"
